,,,,,,,,,,,,,,,,,,,
NIO Inc. Sponsored ADR Class A,,,,,,,,,,,,,,,,,,,
NIO   62914V106   BFZX9H8   NYSE    Common stock    ,,,,,,,,,,,,,,,,,,,
Source: FactSet Fundamentals,,,,,,,,,,,,,,,,,,,
,DEC '16,DEC '17,DEC '18,DEC '19,,,,,,,,,,,,,,,
,,365 Days,365 Days,365 Days,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,
Gross Margin,-,-,-12.3,-22.0,,,,,,,,,,,,,,,
SG&A to Sales,-,-,181.5,119.6,,,,,,,,,,,,,,,
Operating Margin,-,-,-193.8,-141.6,,,,,,,,,,,,,,,
Pretax Margin,-,-,-194.0,-143.4,,,,,,,,,,,,,,,
Net Margin,-,-,-195.1,-145.9,,,,,,,,,,,,,,,
Free Cash Flow Margin,-,-,-213.2,-128.9,,,,,,,,,,,,,,,
Return on Assets (%),-,-77.1,-66.9,-68.3,,,,,,,,,,,,,,,
Return on Equity (%),-,-103.5,-130.1,"-3,612.7",,,,,,,,,,,,,,,
Return on Common Equity,-,-,-,"-3,612.7",,,,,,,,,,,,,,,
Return on Total Capital,-,-94.9,-96.0,-128.2,,,,,,,,,,,,,,,
Return on Invested Capital,-,-96.4,-116.2,-215.8,,,,,,,,,,,,,,,
Cash Flow Return on Invested Capital,-,-88.5,-95.1,-158.4,,,,,,,,,,,,,,,
Valuation (x),,,,,,,,,,,,,,,,,,,
Price/Sales,-,-,2.8,3.7,,,,,,,,,,,,,,,
Price/Earnings,-,-,-0.6,-2.5,,,,,,,,,,,,,,,
Price/Book Value,-,-,6.7,-4.7,,,,,,,,,,,,,,,
Price/Tangible Book Value,-,-,4.9,-3.5,,,,,,,,,,,,,,,
Price/Cash Flow,-,-,-1.8,-3.4,,,,,,,,,,,,,,,
Price/Free Cash Flow,-,-,-1.3,-2.8,,,,,,,,,,,,,,,
Enterprise Value/EBIT,-,-,-3.0,-3.0,,,,,,,,,,,,,,,
Enterprise Value/EBITDA,-,-,-3.2,-3.4,,,,,,,,,,,,,,,
Enterprise Value/Sales,-,-,5.8,4.2,,,,,,,,,,,,,,,
Total Debt/Enterprise Value,-,-,0.1,0.3,,,,,,,,,,,,,,,
Per Share,,,,,,,,,,,,,,,,,,,
Sales per Share,0.00,0.00,2.25,1.10,,,,,,,,,,,,,,,
EBIT (Operating Income) per Share,-0.37,-0.70,-4.37,-1.56,,,,,,,,,,,,,,,
EPS (recurring),-0.50,-1.07,-10.61,-1.60,,,,,,,,,,,,,,,
EPS (diluted),-0.50,-1.07,-10.61,-1.60,,,,,,,,,,,,,,,
Book Value per Share,-0.54,-1.70,0.95,-0.85,,,,,,,,,,,,,,,
Tangible Book Value per Share,-0.73,-2.32,1.29,-1.15,,,,,,,,,,,,,,,
Cash Flow per Share,-0.32,-0.64,-3.60,-1.18,,,,,,,,,,,,,,,
Free Cash Flow per Share,-0.41,-0.80,-4.80,-1.42,,,,,,,,,,,,,,,
Diluted Shares Outstanding,"1,050.01","1,050.01",332.15,"1,029.93",,,,,,,,,,,,,,,
Basic Shares Outstanding,"1,050.01","1,050.01",332.15,"1,029.93",,,,,,,,,,,,,,,
Total Shares Outstanding,769.48,769.48,770.27,783.94,,,,,,,,,,,,,,,
Asset Turnover Analysis (x),,,,,,,,,,,,,,,,,,,
Cash & ST Investments,-,0.0,0.6,1.7,,,,,,,,,,,,,,,
Receivables,-,0.0,4.1,3.3,,,,,,,,,,,,,,,
Inventories,-,3.6,6.1,6.9,,,,,,,,,,,,,,,
Current Assets,-,0.0,0.5,0.9,,,,,,,,,,,,,,,
Fixed Assets,-,0.0,1.5,1.2,,,,,,,,,,,,,,,
Total Assets,-,0.0,0.3,0.5,,,,,,,,,,,,,,,
DuPont Analysis,,,,,,,,,,,,,,,,,,,
   Asset Turnover (x),-,0.0,0.3,0.5,,,,,,,,,,,,,,,
    x Pretax Margin (%),-,-,-194.0,-143.4,,,,,,,,,,,,,,,
 = Pretax Return on Assets (%),-,-77.5,-66.5,-67.1,,,,,,,,,,,,,,,
 = Return on Assets (%),-,-77.1,-66.9,-68.3,,,,,,,,,,,,,,,
    x Equity Multiplier (Assets/Equity),-,1.3,1.9,52.9,,,,,,,,,,,,,,,
 = Return on Equity (%),-,-103.5,-130.1,"-3,612.7",,,,,,,,,,,,,,,
 = Reinvestment Rate (%),-,-103.5,-130.1,"-3,612.7",,,,,,,,,,,,,,,
Note: EBIT Return on Assets (%),-,-76.6,-66.5,-66.3,,,,,,,,,,,,,,,
Note: Interest as % Assets,0.0,0.2,0.7,2.6,,,,,,,,,,,,,,,
Operating Efficiency (x),,,,,,,,,,,,,,,,,,,
Revenue/Employee (actual),-,-,"76,088",-,,,,,,,,,,,,,,,
Net Income/Employee (actual),-,-,"-148,460",-,,,,,,,,,,,,,,,
Assets/Employee (actual),-,-,"279,077",-,,,,,,,,,,,,,,,
Receivables Turnover (x),-,0.0,4.1,3.3,,,,,,,,,,,,,,,
Inventory Turnover (x),-,3.6,6.1,6.9,,,,,,,,,,,,,,,
Payables Turnover (x),-,2.1,4.8,2.9,,,,,,,,,,,,,,,
Asset Turnover (x),-,0.0,0.3,0.5,,,,,,,,,,,,,,,
Working Capital Turnover (x),0.0,0.0,1.4,-,,,,,,,,,,,,,,,
Operating Cycle (Days),,,,,,,,,,,,,,,,,,,
   Days of Inventory on Hand,-,100.9,59.9,53.2,,,,,,,,,,,,,,,
    + Days of Sales Outstanding,-,-,90.1,112.2,,,,,,,,,,,,,,,
 = Operating Cycle,-,-,150.0,165.4,,,,,,,,,,,,,,,
    - Days of Payables Outstanding,-,170.0,76.1,125.3,,,,,,,,,,,,,,,
 = Net Operating Cycle,-,-,73.8,40.1,,,,,,,,,,,,,,,
Liquidity (%),,,,,,,,,,,,,,,,,,,
Current Ratio,1.2,5.1,1.4,0.5,,,,,,,,,,,,,,,
Quick Ratio,1.2,5.1,1.2,0.4,,,,,,,,,,,,,,,
Cash Ratio,0.8,4.6,1.0,0.1,,,,,,,,,,,,,,,
Cash & ST Inv/Current Assets (%),66.4,90.5,68.6,21.4,,,,,,,,,,,,,,,
CFO/Current Liabilities (%),-317.0,-272.4,-95.5,-88.9,,,,,,,,,,,,,,,
Coverage (x),,,,,,,,,,,,,,,,,,,
Net Debt/EBITDA,0.2,1.5,0.5,-1.0,,,,,,,,,,,,,,,
Net Debt/(EBITDA-Capex),0.2,1.2,0.4,-0.8,,,,,,,,,,,,,,,
EBIT/Interest Expense (Int. Coverage),"-47,318.9",-273.9,-77.6,-29.9,,,,,,,,,,,,,,,
EBITDA/Interest Expense,"-46,481.0",-264.6,-73.8,-25.8,,,,,,,,,,,,,,,
Fixed-charge Coverage Ratio,-2.7,-1.9,-0.7,-29.9,,,,,,,,,,,,,,,
CFO/Interest Expense,"-40,028.4",-253.0,-64.0,-22.6,,,,,,,,,,,,,,,
LT Debt/EBITDA,0.0,-0.1,-0.1,-0.9,,,,,,,,,,,,,,,
Net Debt/FFO,0.2,1.5,0.6,-1.0,,,,,,,,,,,,,,,
LT Debt/FFO,0.0,-0.1,-0.1,-1.0,,,,,,,,,,,,,,,
FCF/Total Debt,-52.3,-7.5,-3.4,-1.0,,,,,,,,,,,,,,,
CFO/Total Debt,-40.3,-6.1,-2.5,-0.8,,,,,,,,,,,,,,,
