Company,Mkt Cap (USD $B),Change (USD $B),Chg %,Symbol,Price/Share,Currency,Country
Tesla,404.09,-11.18,-0.0269,TSLA,426.3,USD,USA
Toyota,190.86,0.29,0.0015,TM,137.28,USD,Japan
Volkswagen,82.85,-0.86,-0.0103,VOW.DE,144.1,EUR,Germany
BYD,73.45,-1.21,-0.0162,1211.HK,194,HKD,China
Daimler,61.13,-1.6,-0.0255,DAI.DE,48.15,EUR,Germany
NIO,56.08,-1.69,-0.0292,NIO,41.17,USD,China
General Motors,53.62,0.44,0.0083,GM,37.47,USD,USA
Ferrari,51.43,-0.02,-0.0003,RACE,207.02,USD,Italy
BMW,48.69,-0.92,-0.0185,BMW.DE,63.59,EUR,Germany
SAIC,48.01,-0.55,-0.0113,600104.SS,27.19,CNY,China
Honda,45.06,2.06,0.0479,HMC,26.05,USD,Japan
Hyundai,35.73,1.15,0.0333,HYMTF,35.65,USD,South Korea
Ford,31.51,-0.28,-0.0088,F,7.92,USD,USA
Maruti Suzuki,28.15,-0.79,-0.0272,MARUTI.NS,6900,INR,India
Xpeng,27.98,0.82,0.0301,XPEV,36.92,USD,China
Fiat Chrysler,27.2,-0.16,-0.0059,FCAU,13.44,USD,Italy/USA
Geely,26.45,-0.63,-0.0234,0175.HK,20.9,HKD,China
Suzuki,23.72,-,-,SZKMF,47.96,USD,Japan
Li Auto,22.1,-1.4,-0.0595,LI,26.42,USD,China
Groupe PSA,17.55,-0.26,-0.0148,UG.PA,16.67,EUR,France
Subaru,15.25,-0.06,-0.004,FUJHY,9.99,USD,Japan
Nissan,14.42,-,-,NSANY,7.37,USD,Japan
Changan,12.58,-0.54,-0.0412,000625.SZ,17.7,CNY,China
Mahindra,10.27,0.17,0.0164,M&M.NS,611.95,INR,India
FAW,9.03,-0.31,-0.0336,000800.SZ,12.96,CNY,China
